scenario,step_percent,estimator,family,run_tier,n_mc_runs,tune_trials,tune_eval_runs,n_cost_reps,base_seed,tuning_base_seed,pipeline_method_version,tuning_elapsed_s,mc_eval_elapsed_s,total_elapsed_s
Sweep_AmplitudeStep_1pct,1.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.220000169472769e-05,33.85304399999586,33.85308950000035
Sweep_AmplitudeStep_1pct,1.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00032539997482672334,27.66097600001376,27.661351200018544
Sweep_AmplitudeStep_1pct,1.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,8.720002369955182e-05,26.23544060002314,26.235855900042225
Sweep_AmplitudeStep_1pct,1.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,1.7199956346303225e-05,34.27856480004266,34.278604999999516
Sweep_AmplitudeStep_1pct,1.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.370000584051013e-05,26.950089600053616,26.950136500003282
Sweep_AmplitudeStep_1pct,1.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00018350000027567148,31.235181500029285,31.23539260000689
Sweep_AmplitudeStep_1pct,1.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0001170000177808106,36.18259909999324,36.18275119998725
Sweep_AmplitudeStep_1pct,1.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,5.470000905916095e-05,12.736518100020476,12.736596600036137
Sweep_AmplitudeStep_200pct,200.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,6.680004298686981e-05,21.68915259995265,21.689244699955452
Sweep_AmplitudeStep_200pct,200.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.800003858283162e-05,32.65239310002653,32.652441999991424
Sweep_AmplitudeStep_200pct,200.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,5.4800009820610285e-05,25.439779899956193,25.439852499985136
Sweep_AmplitudeStep_200pct,200.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,7.219996768981218e-05,25.449577299994417,25.449674599978607
